year,type,alat_tangkap,jumlah,,,,,
2021,golok_golok,jaring_payang,0,,,,,
2021,talang_talang,jaring_payang,0,,,,,
2021,kerong_kerong,jaring_payang,0,,,,,
2021,gurita,jaring_payang,,,,,,
2021,bentong,jaring_payang,,,,,,
2021,selanget,jaring_payang,0,,,,,
2021,gerot_gerot,jaring_payang,0,,,,,
2021,kakap_putih,jaring_payang,508,,,,,
2021,udang_lainnya,jaring_payang,50267,,,,,
2021,beronang,jaring_payang,28,,,,,
2021,kuro,jaring_payang,27.1,,,,,
2021,alu_alu,jaring_payang,13,,,,,
2021,teri_nasi,jaring_payang,0,,,,,
2021,ikan_terbang,jaring_payang,0,,,,,
2021,semar,jaring_payang,0,,,,,
2021,jenaha,jaring_payang,0,,,,,
2021,udang_dogol,jaring_payang,,,,,,
2021,sembilang,jaring_payang,68,,,,,
2021,udang_kipas,jaring_payang,0,,,,,
2021,layur,bagan_apung,305,,,,,
2021,layang,bagan_apung,6685,,,,,
2021,siro,bagan_apung,14190,,,,,
2021,teri,bagan_apung,193613,,,,,
2021,tenggiri,bagan_apung,7435,,,,,
2021,tongkol,bagan_apung,30051.9,,,,,
2021,tembang,bagan_apung,48870.2,,,,,
2021,belanak,bagan_apung,64,,,,,
2021,kembung,bagan_apung,16109.8,,,,,
2021,peperek,bagan_apung,30583.5,,,,,
2021,cucut,bagan_apung,354.9,,,,,
2021,selar,bagan_apung,25451,,,,,
2021,udang_krosok,bagan_apung,0,,,,,
2021,kerapu,bagan_apung,289,,,,,
2021,kakap_merah,bagan_apung,67.6,,,,,
2021,kwe,bagan_apung,4125.3,,,,,
2021,manyung,bagan_apung,0,,,,,
2021,cumi_cumi,bagan_apung,97457,,,,,
2021,bawal_hitam,bagan_apung,,,,,,
2021,beloso,bagan_apung,246.5,,,,,
2021,ekor_kuning,bagan_apung,213,,,,,
2021,rajungan,bagan_apung,342,,,,,
2021,kurisi,bagan_apung,377.2,,,,,
2021,pari,bagan_apung,2028,,,,,
2021,layaran,bagan_apung,262,,,,,
2021,sotong,bagan_apung,2970,,,,,
2021,bawal_putih,bagan_apung,17.8,,,,,
2021,gulamah,bagan_apung,228,,,,,
2021,ikan_sebelah,bagan_apung,0,,,,,
2021,kuniran,bagan_apung,0,,,,,
2021,udang_jerbung,bagan_apung,0,,,,,
2021,japuh,bagan_apung,24713,,,,,
2021,tetengkek,bagan_apung,5382.2,,,,,
2021,cendro,bagan_apung,1810,,,,,
2021,golok_golok,bagan_apung,363.7,,,,,
2021,talang_talang,bagan_apung,2440,,,,,
2021,kerong_kerong,bagan_apung,102,,,,,
2021,gurita,bagan_apung,,,,,,
2021,bentong,bagan_apung,,,,,,
2021,selanget,bagan_apung,111.9,,,,,
2021,gerot_gerot,bagan_apung,1.6,,,,,
2021,kakap_putih,bagan_apung,46.4,,,,,
2021,udang_lainnya,bagan_apung,1943,,,,,
2021,beronang,bagan_apung,142,,,,,
2021,kuro,bagan_apung,21.5,,,,,
2021,alu_alu,bagan_apung,2526.5,,,,,
2021,teri_nasi,bagan_apung,64,,,,,
2021,ikan_terbang,bagan_apung,155.8,,,,,
2021,semar,bagan_apung,17082.5,,,,,
2021,jenaha,bagan_apung,143.8,,,,,
2021,udang_dogol,bagan_apung,,,,,,
2021,sembilang,bagan_apung,28,,,,,
2021,udang_kipas,bagan_apung,0,,,,,
2021,layur,bagan_tancap,20,,,,,
2021,layang,bagan_tancap,0,,,,,
2021,siro,bagan_tancap,0,,,,,
2021,teri,bagan_tancap,69067,,,,,
2021,tenggiri,bagan_tancap,0,,,,,
2021,tongkol,bagan_tancap,0,,,,,
2021,tembang,bagan_tancap,53403.3,,,,,
2021,belanak,bagan_tancap,127,,,,,
2021,kembung,bagan_tancap,423.3,,,,,
2021,peperek,bagan_tancap,57324.4,,,,,
2021,cucut,bagan_tancap,0,,,,,
2021,selar,bagan_tancap,9263.2,,,,,
2021,udang_krosok,bagan_tancap,0,,,,,
2021,kerapu,bagan_tancap,0,,,,,
2021,kakap_merah,bagan_tancap,0,,,,,
2021,kwe,bagan_tancap,0,,,,,
2021,manyung,bagan_tancap,0,,,,,
2021,cumi_cumi,bagan_tancap,1904,,,,,
2021,bawal_hitam,bagan_tancap,,,,,,
2021,beloso,bagan_tancap,0,,,,,
2021,ekor_kuning,bagan_tancap,0,,,,,
2021,rajungan,bagan_tancap,338,,,,,
2021,kurisi,bagan_tancap,0,,,,,
2021,pari,bagan_tancap,0,,,,,
2021,layaran,bagan_tancap,0,,,,,
2021,sotong,bagan_tancap,12,,,,,
2021,bawal_putih,bagan_tancap,0,,,,,
2021,gulamah,bagan_tancap,1623,,,,,
2021,ikan_sebelah,bagan_tancap,7511.9,,,,,
2021,kuniran,bagan_tancap,0,,,,,
2021,udang_jerbung,bagan_tancap,0,,,,,
2021,japuh,bagan_tancap,4234,,,,,
2021,tetengkek,bagan_tancap,0,,,,,
2021,cendro,bagan_tancap,50,,,,,
2021,golok_golok,bagan_tancap,0,,,,,
2021,talang_talang,bagan_tancap,1107,,,,,
2021,kerong_kerong,bagan_tancap,,,,,,
2021,gurita,bagan_tancap,,,,,,
2021,bentong,bagan_tancap,,,,,,
2021,selanget,bagan_tancap,106.5,,,,,
2021,gerot_gerot,bagan_tancap,0,,,,,
2021,kakap_putih,bagan_tancap,31,,,,,
2021,udang_lainnya,bagan_tancap,395,,,,,
2021,beronang,bagan_tancap,0,,,,,
2021,kuro,bagan_tancap,1.1,,,,,
2021,alu_alu,bagan_tancap,136.8,,,,,
2021,teri_nasi,bagan_tancap,127,,,,,
2021,ikan_terbang,bagan_tancap,0,,,,,
2021,semar,bagan_tancap,0,,,,,
2021,jenaha,bagan_tancap,13.2,,,,,
2021,udang_dogol,bagan_tancap,,,,,,
2021,sembilang,bagan_tancap,139,,,,,
2021,udang_kipas,bagan_tancap,0,,,,,
2021,layur,jaring_insang,0,,,,,
2021,layang,jaring_insang,0,,,,,
2021,siro,jaring_insang,0,,,,,
2021,teri,jaring_insang,0,,,,,
2021,tenggiri,jaring_insang,0,,,,,
2021,tongkol,jaring_insang,0,,,,,
2021,tembang,jaring_insang,13156.1,,,,,
2021,belanak,jaring_insang,0,,,,,
2021,kembung,jaring_insang,0,,,,,
2021,peperek,jaring_insang,0,,,,,
2021,cucut,jaring_insang,0,,,,,
2021,selar,jaring_insang,0,,,,,
2021,udang_krosok,jaring_insang,0,,,,,
2021,kerapu,jaring_insang,0,,,,,
2021,kakap_merah,jaring_insang,0,,,,,
2021,kwe,jaring_insang,0,,,,,
